type, Leaf Node,Leaf Interface,Leaf IP Address,Port-Channel,Peer Node,Peer Interface,Peer IP Address,Port-Channel
L3 Leaf,DC1-GW1A,Ethernet1,10.1.0.33/31,N/A,DC1-SPINE1,Ethernet6,10.1.0.32/31,N/A
L3 Leaf,DC1-GW1A,Ethernet2,10.1.0.35/31,N/A,DC1-SPINE2,Ethernet6,10.1.0.34/31,N/A
L3 Leaf,DC1-GW1B,Ethernet1,10.1.0.41/31,N/A,DC1-SPINE1,Ethernet7,10.1.0.40/31,N/A
L3 Leaf,DC1-GW1B,Ethernet2,10.1.0.43/31,N/A,DC1-SPINE2,Ethernet7,10.1.0.42/31,N/A
L3 Leaf,DC1-LEAF1A,Ethernet1,10.1.0.1/31,N/A,DC1-SPINE1,Ethernet1,10.1.0.0/31,N/A
L3 Leaf,DC1-LEAF1A,Ethernet2,10.1.0.3/31,N/A,DC1-SPINE2,Ethernet1,10.1.0.2/31,N/A
L3 Leaf,DC1-LEAF1B,Ethernet1,10.1.0.9/31,N/A,DC1-SPINE1,Ethernet2,10.1.0.8/31,N/A
L3 Leaf,DC1-LEAF1B,Ethernet2,10.1.0.11/31,N/A,DC1-SPINE2,Ethernet2,10.1.0.10/31,N/A
L3 Leaf,DC1-LEAF2A,Ethernet1,10.1.0.17/31,N/A,DC1-SPINE1,Ethernet3,10.1.0.16/31,N/A
L3 Leaf,DC1-LEAF2A,Ethernet2,10.1.0.19/31,N/A,DC1-SPINE2,Ethernet3,10.1.0.18/31,N/A
L3 Leaf,DC1-LEAF2B,Ethernet1,10.1.0.25/31,N/A,DC1-SPINE1,Ethernet4,10.1.0.24/31,N/A
L3 Leaf,DC1-LEAF2B,Ethernet2,10.1.0.27/31,N/A,DC1-SPINE2,Ethernet4,10.1.0.26/31,N/A
L2 Leaf,DC1-L2LEAF1,Ethernet1,N/A,Po1,DC1-LEAF1A,Ethernet4,N/A,Po4
L2 Leaf,DC1-L2LEAF1,Ethernet2,N/A,Po1,DC1-LEAF1B,Ethernet4,N/A,Po4
L2 Leaf,DC1-L2LEAF2,Ethernet1,N/A,Po1,DC1-LEAF2A,Ethernet4,N/A,Po4
L2 Leaf,DC1-L2LEAF2,Ethernet2,N/A,Po1,DC1-LEAF2B,Ethernet4,N/A,Po4
